ID,Descripción,Fecha de verificación,Próxima Verificación,Calendario de Verificacion,Estado,Método de verificación,Error-,Error+,Resolución+,Resolución-,Patrón,ID patrón,Usuario,Linea del cliente,Formato,Status,,Fuera de Calibración,,Periodo
DUM-596,6652 TP Tap,27/04/2021,27/10/2021,17/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,,,,183.00
DUM-597,6652 TP Tap,27/04/2021,27/10/2021,17/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,,,,183.00
DUM-593,6652 Rayas,27/04/2021,27/10/2021,17/10/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,,,,183.00
DUM-514,6652 Pza OK Manchas,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,,,,183.00
DUM-524,6652 Pza Ok,29/05/2021,28/11/2021,18/11/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,,,,183.00
DUM-590,6652 Pza Ok,14/06/2021,14/12/2021,04/12/2021,Activo,INTERNO,NA,NA,NA,NA,Rotary,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,,,,183.00
DUM-704,6652 Plastico heat sink,15/05/2021,14/11/2021,04/11/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-701,6652 Mancha heat sink,15/05/2021,14/11/2021,04/11/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-702,6652 Mancha heat sink,15/05/2021,14/11/2021,04/11/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-703,6652 Mancha heat sink,15/05/2021,14/11/2021,04/11/2021,Activo,INTERNO,NA,NA,NA,NA,Camara de Visión,NA,Moldeo,VAL-6652-000,NA,Calibración Aceptada,FLOME,,,183.00
